Date,Open,High,Low,Close,Adj Close,Volume
2022-04-12,5.350000,5.380000,5.330000,5.350000,5.253777,3690700
2022-04-13,5.390000,5.420000,5.370000,5.400000,5.302878,2787300
2022-04-14,5.430000,5.490000,5.410000,5.460000,5.361799,6131300
2022-04-18,5.430000,5.450000,5.400000,5.400000,5.302878,2331700
2022-04-19,5.470000,5.510000,5.430000,5.440000,5.342158,5347600
2022-04-20,5.460000,5.520000,5.460000,5.500000,5.401079,4974200
2022-04-21,5.500000,5.530000,5.480000,5.520000,5.420720,5049000
2022-04-22,5.480000,5.530000,5.470000,5.520000,5.420720,5077300
2022-04-25,5.520000,5.540000,5.480000,5.530000,5.430540,5714400
2022-04-26,5.540000,5.550000,5.490000,5.500000,5.401079,3475300
2022-04-27,5.490000,5.500000,5.420000,5.500000,5.401079,4629300
2022-04-28,5.500000,5.500000,5.450000,5.480000,5.381439,3329300
2022-04-29,5.510000,5.530000,5.490000,5.500000,5.401079,4636900
2022-05-04,5.500000,5.500000,5.450000,5.460000,5.361799,3512000
2022-05-05,5.510000,5.520000,5.470000,5.480000,5.381439,3300900
2022-05-06,5.430000,5.440000,5.350000,5.370000,5.273417,8527600
2022-05-09,5.350000,5.360000,5.310000,5.320000,5.224317,6332200
2022-05-10,5.280000,5.280000,5.200000,5.230000,5.135935,7517800
2022-05-11,5.240000,5.280000,5.220000,5.250000,5.155576,5208900
2022-05-12,5.250000,5.250000,5.170000,5.170000,5.077014,7601900
2022-05-13,5.170000,5.210000,5.150000,5.160000,5.067194,7285300
2022-05-17,5.210000,5.330000,5.190000,5.330000,5.234137,8851400
2022-05-18,5.350000,5.500000,5.350000,5.430000,5.332338,9916900
2022-05-19,5.360000,5.440000,5.280000,5.380000,5.283237,10496200
2022-05-20,5.400000,5.480000,5.390000,5.470000,5.371619,7037100
2022-05-23,5.490000,5.520000,5.480000,5.480000,5.381439,7675000
2022-05-24,5.490000,5.530000,5.460000,5.490000,5.391259,7410200
